Python;Java;C++;JavaScript;C#;PHP;Ruby;Swift;Go;Rust;Others;Software_Development_Experience;Database_Management;Networking_Skills;Web_Development_Experience;Communication_Skills;Problem_Solving_Abilities;Teamwork_Collaboration;Time_Management;Adaptability;Leadership_Experience;Career_Goals
0;1;2;4;5;2;2;8;9;5;3;6;3;0;4;9;6;4;2;3;Yes;Computer and Information Research Scientist
0;1;5;6;4;1;0;8;6;1;8;2;6;3;1;4;3;6;7;9;Yes;Mobile App Developer
9;1;8;9;2;1;0;1;3;3;4;1;4;5;6;5;3;3;4;6;No;Full Stack Developer
8;8;4;0;2;6;6;2;4;9;5;8;7;3;5;5;7;3;2;9;Yes;Computer and Information Systems Manager
6;6;9;3;9;1;6;0;2;7;8;9;9;3;5;9;1;7;9;7;Yes;Software Developer
3;3;0;6;6;0;0;0;3;6;1;6;3;3;0;7;0;9;5;2;Yes;Machine Learning Engineer
0;0;1;8;9;6;5;2;1;4;3;1;1;8;8;5;5;7;7;0;Yes;IT Support Specialist
9;0;8;8;3;8;0;9;2;2;6;1;1;0;4;4;9;7;0;0;No;Embedded Systems Engineer
9;2;2;7;5;1;7;7;6;7;7;7;1;7;3;5;0;1;5;9;Yes;Computer Systems Manager
0;0;2;7;7;9;4;8;7;1;6;3;7;6;7;8;4;4;3;4;No;Quality Assurance Engineer
3;2;4;3;5;2;2;6;1;0;8;8;6;3;8;9;7;7;8;0;No;Computer Programmer
0;9;8;7;3;0;1;8;4;1;4;5;1;9;6;1;1;7;9;7;No;Cloud Architect
4;8;5;7;6;1;2;2;6;0;5;0;3;6;5;2;9;3;0;4;No;Business Intelligence Analyst
8;5;8;7;1;9;8;0;2;0;7;2;9;1;7;8;9;8;0;4;No;DevOps Engineer
3;3;9;3;0;0;1;1;7;1;4;9;0;0;4;7;9;6;0;2;No;Software Developer
6;2;1;0;0;6;9;4;8;4;2;8;5;0;8;6;5;5;3;7;No;Computer Science Teacher
4;1;8;8;7;0;4;4;3;2;1;6;7;9;8;3;0;5;2;7;No;Database Administrator
9;4;6;8;1;0;2;9;8;0;5;3;4;3;5;8;4;9;3;1;Yes;Front End Developer
9;5;1;6;7;0;8;9;1;3;9;1;1;7;1;4;6;3;7;5;No;Data Scientist
3;3;9;6;5;7;5;7;5;8;2;4;1;4;7;2;9;6;8;1;No;Technical Support Engineer
5;5;4;5;3;8;4;8;0;5;2;8;6;0;7;6;0;9;8;8;No;Cloud Architect
0;5;6;6;8;5;1;4;5;8;9;8;2;4;5;9;8;5;1;5;No;Computer Systems Manager
0;0;6;0;9;7;2;0;1;3;2;0;5;4;2;1;3;1;6;8;Yes;DevOps Engineer
5;3;7;3;9;5;6;1;4;0;7;1;9;1;5;3;7;0;2;8;No;IT Support Specialist
4;0;2;3;1;7;1;2;7;3;3;4;1;3;5;5;0;0;6;9;Yes;IT Consultant
5;0;0;8;6;7;6;9;9;1;0;4;0;4;0;5;0;5;6;7;Yes;Business Intelligence Analyst
0;7;3;9;8;6;9;3;4;1;7;6;6;4;9;3;7;1;5;8;Yes;Digital Marketing Specialist
1;2;8;2;2;4;1;0;3;0;9;7;7;8;6;9;4;3;9;9;Yes;Machine Learning Engineer
0;8;7;9;5;2;9;4;8;6;0;9;0;9;3;1;3;9;2;0;No;Computer Network Architect
1;9;1;7;0;4;0;6;3;9;7;4;3;2;1;2;9;1;4;4;Yes;Front End Developer
2;9;5;4;8;6;8;2;3;1;3;0;0;6;4;9;0;7;9;7;Yes;Computer Network Architect
4;2;7;1;9;7;9;7;1;4;8;1;1;3;7;3;2;2;0;1;Yes;Machine Learning Engineer
4;6;1;8;6;1;2;0;7;6;4;3;6;8;6;6;6;2;4;6;No;Game Developer
3;0;2;7;3;2;6;9;1;4;5;0;7;8;3;1;9;0;7;1;Yes;Front End Developer
5;4;3;2;1;2;4;2;6;6;3;5;7;6;1;0;7;1;8;5;No;Computer Hardware Engineer
6;6;3;3;2;3;7;1;2;3;0;2;9;2;8;7;5;4;6;3;No;Network Engineer
5;3;0;1;3;4;3;7;0;3;1;6;9;5;7;9;6;3;4;0;No;Software Tester
2;7;8;3;1;1;9;9;3;9;8;4;7;7;2;5;9;8;8;6;No;Cybersecurity Analyst
5;6;0;7;3;6;6;7;0;4;0;9;7;1;1;7;1;6;7;5;No;IT Support Specialist
2;7;3;8;6;5;8;1;9;2;5;4;9;6;3;3;9;3;4;0;Yes;Front End Developer
0;7;6;0;7;7;6;2;3;9;2;6;1;3;0;6;3;8;3;3;Yes;DevOps Engineer
6;5;3;8;2;3;2;7;2;1;0;8;6;3;6;7;1;5;7;1;Yes;Computer Science Teacher
5;1;0;0;2;2;1;7;0;6;7;5;5;3;0;2;7;0;4;1;No;Game Developer
8;4;2;5;8;0;1;9;5;0;0;7;4;2;8;1;2;9;0;9;No;Artificial Intelligence Engineer
5;1;0;7;8;4;2;5;4;1;7;5;0;5;4;4;4;9;8;0;Yes;Network Administrator
6;2;2;8;3;2;8;1;1;3;7;1;9;2;4;7;5;6;3;4;No;Software Engineer
7;8;2;7;6;4;0;3;7;0;1;0;7;2;0;2;0;8;0;0;Yes;Technical Support Engineer
2;6;2;6;6;5;2;1;3;1;1;1;4;7;6;8;4;2;6;0;Yes;DevOps Engineer
2;0;9;0;6;0;8;4;1;7;3;6;0;1;5;0;9;7;6;4;Yes;Data Scientist
5;9;4;4;4;1;2;1;6;6;2;3;5;8;1;7;5;1;1;8;Yes;Software Developer
9;2;8;6;5;4;4;5;6;7;2;0;7;4;6;1;4;5;4;2;Yes;Digital Marketing Specialist
7;1;4;1;1;4;9;0;5;4;8;5;2;4;0;5;3;5;3;2;No;Computer Programmer
4;4;5;4;0;2;2;6;3;0;5;1;2;8;0;3;2;8;9;8;No;Business Intelligence Analyst
8;5;3;6;4;4;6;7;3;6;3;9;0;9;0;9;3;7;2;9;No;IT Project Manager
6;0;7;8;3;9;1;1;1;6;9;4;8;1;2;7;6;3;1;8;No;Cybersecurity Analyst
2;0;7;4;3;9;6;5;1;3;4;1;5;4;0;0;1;7;1;2;Yes;DevOps Engineer
0;6;8;9;2;2;9;0;5;4;5;0;5;1;8;2;5;2;2;3;Yes;Network Administrator
2;4;3;9;2;2;4;2;0;0;8;9;8;0;0;4;3;1;5;6;Yes;Computer Network Architect
5;2;9;9;2;1;3;0;8;9;2;8;8;8;4;2;4;2;7;7;Yes;Network Engineer
0;0;2;7;8;2;8;5;6;6;2;3;6;1;7;4;5;3;0;9;No;Software Developer
9;5;3;1;0;6;0;2;7;4;4;0;3;0;8;5;2;5;0;1;No;Software Tester
8;0;4;9;0;4;9;6;5;1;2;6;4;7;7;1;1;9;6;0;Yes;Embedded Systems Engineer
6;9;8;4;9;4;8;0;7;4;4;9;4;0;3;0;0;9;9;5;Yes;Software Engineer
3;5;2;1;1;7;2;5;1;1;2;9;7;8;0;1;0;5;4;0;No;Embedded Systems Engineer
8;1;9;0;2;0;0;1;5;1;9;2;7;9;9;7;8;6;5;8;Yes;IT Consultant
2;3;4;3;7;0;4;2;8;7;9;3;6;9;4;1;1;0;4;3;No;Computer and Information Systems Manager
1;3;0;9;4;2;1;2;1;2;4;7;4;4;2;1;3;8;9;3;Yes;Cloud Architect
7;7;8;6;7;7;0;2;3;5;7;9;5;0;1;5;2;3;3;6;No;Computer and Information Research Scientist
8;3;1;3;8;8;9;1;8;1;6;0;5;6;4;2;9;3;9;9;No;Software Engineer
5;1;2;6;1;2;5;4;7;4;5;1;8;0;0;7;2;1;4;3;Yes;IT Consultant
4;8;1;9;0;7;1;7;5;3;1;6;9;2;6;5;0;8;5;7;No;Front End Developer
5;6;1;4;1;3;5;0;3;8;7;7;9;4;3;1;0;6;9;7;No;Technical Support Engineer
1;4;9;6;9;9;5;5;2;6;2;1;5;0;5;8;5;7;4;6;No;Web Developer
4;0;3;9;6;5;7;6;1;0;0;3;3;6;3;6;9;0;5;9;No;UI/UX Designer
9;9;0;0;2;3;0;3;0;2;8;2;6;7;0;1;2;3;5;3;Yes;Computer Systems Analyst
6;4;4;0;6;0;8;3;7;1;1;7;6;0;4;2;7;7;6;2;Yes;Front End Developer
5;7;6;3;8;1;9;2;0;0;4;7;9;5;4;4;0;0;0;9;No;Cloud Architect
4;6;1;6;9;0;4;3;1;6;3;0;3;7;9;1;9;2;4;1;No;Game Developer
9;6;0;2;7;8;5;9;7;2;1;2;1;1;7;6;4;2;5;0;Yes;Business Intelligence Analyst
3;8;6;3;6;4;9;9;9;5;9;4;0;3;1;4;3;0;2;2;Yes;Software Developer
3;0;9;2;7;2;2;4;2;5;7;9;5;7;5;1;6;5;4;5;No;Data Scientist
2;1;3;0;9;8;1;2;3;6;6;9;6;5;9;0;2;6;1;0;Yes;Front End Developer
3;3;9;7;9;0;1;9;3;6;6;9;6;8;0;2;7;9;7;8;Yes;Blockchain Developer
2;9;8;5;2;4;4;6;9;5;2;2;5;2;2;6;5;0;1;2;Yes;Quality Assurance Engineer
7;0;0;1;8;7;9;2;0;5;6;9;9;4;2;3;8;3;8;5;No;IT Sales Professional
8;6;7;1;5;4;1;5;6;0;0;7;6;3;7;5;5;5;2;8;No;IT Consultant
4;2;2;8;4;0;4;8;2;5;0;7;6;0;0;2;9;1;9;0;No;Web Developer
4;0;3;5;7;3;8;7;2;5;5;8;8;3;0;6;7;8;3;2;Yes;UI/UX Designer
6;4;1;7;9;6;5;0;8;2;1;1;6;5;0;6;3;2;0;5;No;Software Developer
1;6;2;7;2;1;3;9;2;7;7;7;2;2;9;2;9;6;8;0;Yes;Full Stack Developer
3;1;8;8;9;9;8;3;3;9;0;9;4;3;4;6;6;0;9;4;No;Web Developer
8;6;3;8;4;7;9;8;0;0;4;5;5;2;1;4;3;5;6;4;No;Technical Writer
3;6;9;7;2;7;8;1;1;0;5;9;8;7;7;5;1;6;1;5;Yes;Computer Programmer
1;3;4;8;7;3;1;3;8;3;1;2;8;9;6;9;8;2;9;8;Yes;Network Administrator
2;9;5;5;2;6;2;5;9;3;5;3;6;2;6;8;9;4;8;6;No;Cybersecurity Analyst
9;0;2;7;4;8;5;4;6;3;5;0;7;1;9;5;5;7;6;5;No;Network Engineer
7;3;6;0;2;1;3;8;1;0;2;4;1;2;9;9;7;4;0;0;Yes;Data Scientist
0;0;3;2;7;1;7;1;8;8;9;4;7;1;7;5;4;6;5;2;Yes;Machine Learning Engineer
6;0;3;5;9;6;7;9;9;5;4;0;7;5;9;5;9;1;1;5;Yes;Full Stack Developer
7;4;3;4;5;9;5;5;4;6;1;8;7;6;6;8;7;0;4;2;No;IT Consultant
7;7;7;3;4;8;2;9;0;6;2;8;9;7;8;2;1;8;7;5;Yes;IT Sales Professional
0;4;1;3;4;7;8;3;5;2;1;5;5;4;5;8;0;3;6;7;Yes;Systems Analyst
5;2;3;4;4;8;5;3;0;2;1;6;3;3;5;2;2;8;7;2;No;Mobile App Developer
2;3;9;6;9;4;2;2;9;6;2;9;1;8;7;3;8;9;6;1;No;Database Administrator
2;4;9;9;4;9;1;1;5;2;2;0;7;3;3;0;5;5;2;1;Yes;Computer Network Architect
4;9;6;1;0;7;3;2;3;4;9;8;0;9;4;4;2;1;9;3;No;Software Developer
0;2;3;6;3;6;9;1;5;9;0;8;4;8;1;6;8;3;7;5;Yes;Embedded Systems Engineer
9;6;8;4;1;9;3;1;9;5;9;5;3;0;1;4;3;9;4;4;No;Computer and Information Systems Manager
7;7;8;4;5;3;8;1;8;2;8;9;7;9;2;8;1;1;7;1;No;DevOps Engineer
1;7;4;7;5;3;8;8;2;5;0;1;4;1;6;8;7;4;5;1;Yes;Quality Assurance Engineer
0;3;4;1;1;0;7;5;7;9;0;4;9;6;2;4;9;1;1;1;Yes;DevOps Engineer
0;8;7;3;2;2;6;4;9;0;8;6;8;2;6;6;6;7;9;4;Yes;Software Tester
3;3;4;6;4;8;4;7;2;1;8;7;6;0;1;9;8;3;5;0;Yes;Cloud Architect
3;7;9;5;2;2;9;5;1;8;5;9;5;8;5;3;9;1;5;2;No;Cybersecurity Analyst
2;8;4;6;2;7;0;8;8;8;4;3;0;5;6;3;0;2;1;1;No;Front End Developer
0;1;1;1;1;7;6;4;2;6;0;4;0;0;4;0;1;2;8;6;No;Web Developer
6;6;3;8;6;5;9;5;3;8;0;1;8;6;7;7;2;2;8;4;Yes;Computer Programmer
8;4;9;4;1;9;6;7;3;4;2;8;3;9;8;2;7;7;3;1;No;Back End Developer
3;7;7;1;0;1;8;9;8;3;2;0;0;7;1;7;2;3;1;4;Yes;Full Stack Developer
8;6;3;6;3;7;9;4;9;5;9;1;9;5;8;0;7;7;5;1;No;Computer Hardware Engineer
6;5;3;7;9;5;1;4;2;7;3;7;9;8;0;9;5;0;8;1;Yes;Computer Programmer
9;0;9;1;5;6;6;7;1;3;9;5;9;4;0;1;8;1;8;1;No;IT Consultant
4;8;8;7;8;4;3;7;0;1;8;8;7;5;5;9;9;0;0;0;No;Computer Network Architect
3;2;1;3;3;5;4;3;0;4;2;7;9;8;8;7;2;7;8;6;Yes;IT Project Manager
0;3;6;9;4;1;4;4;2;5;8;4;3;1;7;7;4;8;2;5;No;Computer and Information Systems Manager
7;3;2;6;4;9;2;3;4;4;1;2;2;4;1;4;2;4;1;6;Yes;Systems Analyst
8;4;5;8;5;0;6;0;9;0;7;4;5;9;8;5;1;5;6;6;No;Computer Systems Manager
7;4;3;1;5;9;4;4;6;6;2;1;6;6;0;3;7;8;1;7;Yes;Mobile App Developer
9;6;8;3;8;7;2;6;6;1;1;4;2;0;9;5;9;7;1;0;Yes;Computer Systems Analyst
1;6;8;8;3;2;9;8;0;6;9;4;6;3;1;4;7;0;5;2;Yes;Front End Developer
8;5;7;4;6;9;8;6;4;7;3;0;1;7;5;5;4;1;1;5;No;IT Consultant
1;5;2;6;1;6;8;6;2;9;2;7;5;3;6;6;6;1;5;1;No;Back End Developer
7;3;6;4;9;6;1;2;1;4;2;7;9;9;8;4;5;3;6;6;No;Software Engineer
0;9;0;5;9;1;0;8;4;3;6;1;7;0;2;7;1;9;0;2;No;IT Project Manager
0;1;5;7;3;0;1;0;5;1;7;0;6;6;8;1;2;2;0;9;No;Digital Marketing Specialist
0;8;8;7;0;2;0;3;1;9;4;3;8;5;8;0;7;6;8;9;No;Cybersecurity Analyst
9;8;6;2;1;6;5;1;2;4;7;3;8;2;2;5;8;4;0;2;No;Software Developer
7;4;1;6;8;3;3;0;4;9;2;6;4;5;1;9;0;6;9;7;No;Computer Systems Manager
2;3;5;3;5;1;8;4;8;4;3;4;5;0;8;7;3;0;2;2;Yes;Front End Developer
7;7;8;5;5;2;2;7;3;2;1;9;7;5;5;2;8;2;4;5;Yes;Blockchain Developer
7;0;6;9;1;7;9;4;5;9;9;4;6;0;5;8;8;6;9;9;No;Software Engineer
4;3;1;3;1;3;0;5;8;4;1;9;3;7;3;3;7;0;2;0;No;Database Administrator
2;2;8;8;3;2;8;9;7;4;7;7;2;7;2;2;8;8;9;4;Yes;UI/UX Designer
5;0;9;6;3;1;9;6;7;7;8;4;5;8;1;1;6;6;6;6;Yes;Computer and Information Systems Manager
6;2;8;2;7;2;5;8;3;7;6;7;9;8;8;4;1;1;6;1;No;Software Tester
9;2;0;0;4;1;1;5;4;5;9;3;2;6;7;8;2;4;7;0;Yes;IT Support Specialist
9;1;3;7;9;2;5;0;2;1;5;3;6;3;0;2;1;0;5;8;No;Network Administrator
1;4;3;4;8;6;3;0;4;9;7;8;9;6;7;8;2;5;5;0;Yes;Technical Writer
4;3;4;9;3;6;1;7;8;8;8;7;3;3;7;8;9;0;9;4;Yes;UI/UX Designer
4;3;1;8;1;3;6;3;9;7;8;5;0;5;9;7;6;8;7;1;No;Technical Support Engineer
0;6;7;7;6;3;1;9;8;4;4;9;4;9;9;4;7;2;5;1;No;Network Engineer
2;2;0;7;4;2;6;0;1;4;5;9;7;5;8;3;4;8;2;8;Yes;Computer and Information Research Scientist
4;2;1;3;3;5;4;3;9;1;4;1;9;7;5;7;1;8;9;4;Yes;Computer Programmer
0;0;1;0;6;4;9;6;8;3;3;3;7;7;1;4;7;1;1;8;No;IT Consultant
8;5;8;0;6;1;4;1;3;2;8;7;1;3;1;3;5;6;7;5;Yes;Artificial Intelligence Engineer
2;0;4;0;8;9;4;4;9;6;1;5;1;8;4;1;5;3;1;0;Yes;Web Developer
4;5;9;6;7;1;7;6;1;5;3;4;7;4;9;8;7;0;1;8;Yes;IT Support Specialist
7;4;0;8;6;1;9;3;7;0;9;0;8;9;0;0;4;8;3;1;No;Front End Developer
4;6;3;9;9;1;6;2;9;4;6;1;3;2;0;0;0;0;9;6;Yes;Network Engineer
3;1;7;4;1;0;0;6;3;7;7;7;0;3;1;9;2;2;5;4;No;Cloud Architect
0;6;2;4;8;0;5;8;7;4;3;0;7;8;5;5;1;8;4;0;No;Quality Assurance Engineer
2;8;4;8;3;0;2;0;8;7;3;4;2;7;9;2;8;6;0;2;Yes;Computer Science Teacher
9;2;1;5;3;8;4;5;7;7;9;6;5;0;9;7;9;0;5;0;Yes;Full Stack Developer
7;1;0;0;8;1;8;8;8;4;4;1;8;4;1;5;7;8;2;5;Yes;Network Engineer
1;5;8;3;9;2;6;1;8;4;1;7;3;4;8;0;8;1;8;3;Yes;Research Scientist
5;7;1;5;4;0;1;2;1;0;5;4;3;9;6;8;5;8;9;6;No;Data Scientist
3;5;0;8;7;7;2;0;5;4;9;0;9;6;4;4;1;2;1;3;No;Network Administrator
4;5;0;2;8;3;1;5;3;6;0;8;7;3;1;3;1;7;4;5;No;Machine Learning Engineer
1;8;3;7;8;1;9;4;2;1;0;2;3;7;2;4;3;6;1;9;Yes;Quality Assurance Engineer
6;9;4;4;7;9;8;2;0;7;4;0;9;1;0;8;0;0;1;0;Yes;Game Developer
1;7;4;3;1;5;4;3;6;7;7;6;2;4;7;3;5;2;2;8;No;Mobile App Developer
3;0;5;5;2;8;9;8;7;9;8;3;8;7;8;6;1;8;3;7;Yes;Cybersecurity Analyst
2;4;9;4;5;5;8;1;7;1;2;0;4;2;7;6;5;6;2;8;No;Back End Developer
3;0;1;8;1;1;8;0;0;5;1;6;9;5;1;0;8;3;2;2;Yes;Computer Science Teacher
6;8;6;4;0;6;1;2;1;4;1;1;0;7;4;2;6;2;0;7;No;Cybersecurity Analyst
8;5;4;6;9;0;2;1;7;7;3;8;6;8;5;4;9;5;6;1;No;UI/UX Designer
0;9;1;7;8;0;0;2;3;1;0;0;1;2;8;6;1;9;2;0;Yes;Full Stack Developer
9;9;1;8;0;9;1;6;0;3;3;0;3;8;8;7;9;8;0;2;No;Technical Writer
0;2;2;3;9;3;5;7;5;1;9;5;9;2;3;1;4;8;8;2;Yes;Software Tester
2;7;3;5;2;8;3;8;8;1;0;6;3;6;4;6;5;3;6;7;Yes;Software Engineer
9;0;0;4;9;5;3;4;0;4;7;8;1;0;9;1;7;7;3;9;Yes;Computer and Information Research Scientist
0;0;1;8;4;2;1;9;3;2;4;3;2;8;2;5;3;2;4;8;Yes;Computer and Information Research Scientist
8;6;5;8;3;1;4;6;3;3;3;2;0;8;3;3;1;7;3;8;No;Database Administrator
0;1;0;1;1;7;2;0;0;5;4;0;5;9;7;4;4;1;7;2;No;Web Developer
3;4;0;2;3;7;5;4;0;8;4;6;5;5;4;9;6;4;6;8;No;Systems Analyst
2;2;3;4;7;2;5;1;1;5;9;4;9;4;1;4;1;3;2;6;No;IT Project Manager
3;9;6;7;9;8;2;9;4;6;5;1;0;1;1;7;0;5;6;3;Yes;Embedded Systems Engineer
7;9;1;9;5;4;0;9;9;4;3;5;2;6;3;4;0;4;5;4;Yes;Software Engineer
3;1;6;2;7;4;5;2;1;0;7;1;1;7;2;2;0;1;4;2;No;Software Developer
7;1;1;3;2;6;1;9;1;6;1;4;6;5;0;9;8;6;0;9;Yes;Cloud Architect
7;1;5;3;6;7;7;6;1;3;4;5;1;2;7;6;7;6;0;1;No;Back End Developer
5;6;8;2;5;8;1;2;8;6;9;6;2;0;6;6;0;5;1;0;No;Network Administrator
4;2;5;2;9;2;1;0;7;4;2;5;0;7;4;5;8;0;8;2;Yes;Data Scientist
8;3;4;9;6;5;5;9;0;6;7;4;2;0;8;8;6;9;2;8;No;Network Engineer
4;5;0;8;8;0;4;5;3;6;9;4;5;7;0;7;3;9;1;5;No;Mobile App Developer
3;6;3;8;1;6;8;5;3;1;7;4;8;3;2;6;4;5;2;1;Yes;Business Intelligence Analyst
2;6;8;2;7;4;0;0;2;3;6;1;2;5;5;5;0;9;6;8;No;Back End Developer
5;8;5;8;3;9;9;4;0;2;2;3;6;4;9;3;3;8;5;7;Yes;Front End Developer
6;9;4;0;8;1;7;1;6;1;1;2;2;3;0;3;9;3;7;8;Yes;Technical Support Engineer
2;3;8;4;4;3;9;3;6;9;6;6;4;3;9;3;0;7;2;9;Yes;Quality Assurance Engineer
5;3;5;7;6;0;1;7;4;4;3;3;0;9;7;6;1;3;5;3;Yes;Embedded Systems Engineer
0;3;1;3;3;0;6;9;9;8;8;9;0;6;0;2;6;1;9;6;No;Artificial Intelligence Engineer
3;3;8;3;9;1;0;8;1;1;4;9;5;4;8;5;7;3;9;9;No;Front End Developer
6;0;4;3;3;4;5;3;3;7;1;1;7;7;0;8;0;0;3;0;Yes;Technical Writer
3;6;4;0;4;8;0;7;8;3;3;3;8;6;2;7;7;6;1;7;No;Digital Marketing Specialist
8;4;2;9;2;2;3;0;1;7;4;0;0;8;0;5;9;3;4;7;No;Computer Systems Manager
9;8;1;9;7;5;0;8;2;1;2;5;5;5;0;2;7;4;6;2;Yes;Computer and Information Systems Manager
4;8;7;2;1;9;7;2;9;6;2;6;2;9;3;7;0;9;1;6;No;Computer and Information Systems Manager
4;8;0;1;2;0;6;3;0;6;5;7;2;5;6;3;6;3;0;1;No;Business Intelligence Analyst
2;8;8;1;0;8;0;5;1;5;9;1;2;1;2;5;2;0;6;4;Yes;Mobile App Developer
3;5;8;9;1;8;8;6;7;5;8;4;8;5;5;1;1;2;4;4;Yes;Technical Support Engineer
6;0;0;9;9;7;8;3;1;4;8;9;3;4;3;2;1;7;9;9;No;Full Stack Developer
3;1;8;8;9;9;6;8;7;0;7;3;7;2;7;4;0;9;8;0;No;Mobile App Developer
9;1;2;1;5;8;1;8;9;6;6;7;1;8;1;3;8;8;9;7;No;Computer Hardware Engineer
5;1;0;0;3;5;6;6;7;7;2;3;9;7;5;8;3;5;5;8;No;Database Administrator
5;7;3;8;1;7;0;7;9;8;6;5;6;5;3;0;7;1;6;8;No;Front End Developer
1;7;4;0;9;0;6;9;9;5;5;9;7;1;0;5;7;9;6;5;Yes;Computer Systems Manager
4;5;8;2;9;8;6;8;2;5;5;3;6;8;7;5;0;6;4;0;No;Computer and Information Systems Manager
2;5;8;8;0;9;6;3;3;6;4;1;7;7;3;0;0;2;2;4;No;Game Developer
4;9;6;9;1;2;9;0;0;4;5;7;7;5;4;1;3;5;2;9;No;Software Developer
3;6;9;2;3;5;6;1;3;1;9;6;4;7;3;1;2;7;9;7;No;Full Stack Developer
5;5;0;3;8;4;8;3;5;9;7;3;2;1;9;2;8;5;2;1;No;Software Engineer
4;7;8;7;3;7;0;4;9;8;4;9;8;5;5;2;2;1;4;6;No;Network Administrator
1;9;3;4;7;7;2;5;0;1;8;5;6;3;7;1;7;7;7;0;No;Technical Support Engineer
5;4;5;4;5;9;7;3;9;4;6;3;7;0;0;3;5;3;2;7;No;Artificial Intelligence Engineer
7;3;4;7;9;8;2;4;6;7;7;5;4;1;3;9;3;9;1;8;No;UI/UX Designer
3;2;8;8;9;3;7;3;9;3;1;2;7;9;5;5;3;3;8;9;No;Computer Science Teacher
6;1;3;7;3;7;7;4;7;0;8;7;9;1;9;4;9;5;1;4;No;Data Scientist
1;7;9;0;8;2;7;1;5;3;7;3;5;8;7;0;5;6;5;2;No;Computer Programmer
2;6;9;3;2;0;9;2;9;6;5;9;1;4;7;8;7;7;5;2;Yes;Business Intelligence Analyst
6;8;3;4;0;0;6;2;6;2;0;8;9;5;3;6;0;5;5;5;No;Cloud Architect
2;9;6;0;2;0;4;3;2;3;4;2;3;5;1;0;4;6;3;3;Yes;Computer and Information Research Scientist
8;8;1;7;3;5;8;3;3;3;4;8;6;3;6;4;3;0;1;3;Yes;Blockchain Developer
7;0;7;4;5;7;3;3;0;7;8;8;0;5;5;6;0;5;9;4;No;Computer Network Architect
0;6;5;4;9;4;9;8;8;2;5;4;9;2;5;2;4;5;6;2;No;Embedded Systems Engineer
6;5;7;1;6;0;9;7;3;0;0;8;1;7;8;8;7;7;3;9;No;Business Intelligence Analyst
0;4;7;4;9;8;9;1;4;3;3;5;9;8;0;2;9;9;3;9;Yes;Web Developer
6;1;6;6;1;5;9;3;9;7;4;1;7;9;8;5;9;6;9;0;No;Machine Learning Engineer
7;5;8;6;3;8;7;9;9;4;5;8;6;8;7;1;6;4;4;2;No;DevOps Engineer
3;5;7;0;5;6;1;5;3;5;8;5;4;4;4;0;1;5;0;5;No;Computer and Information Research Scientist
6;3;6;3;3;9;7;1;8;8;8;5;1;6;4;2;2;1;5;1;Yes;Database Administrator
3;4;0;3;5;0;8;1;1;2;7;1;8;8;5;5;3;9;2;8;Yes;Embedded Systems Engineer
6;8;0;1;1;7;4;5;5;9;7;8;4;1;4;6;3;8;9;5;Yes;Quality Assurance Engineer
5;4;9;7;4;5;6;8;4;2;0;1;4;9;1;3;2;8;4;4;Yes;Quality Assurance Engineer
4;4;7;0;1;9;0;7;1;0;6;9;1;8;1;9;6;7;2;8;No;Computer Systems Analyst
1;0;6;1;6;4;5;5;8;8;6;3;8;9;3;3;3;3;0;7;Yes;Quality Assurance Engineer
6;0;6;3;2;0;0;5;5;8;1;3;8;8;9;1;1;3;2;6;Yes;Business Intelligence Analyst
6;8;3;0;3;7;4;0;1;5;1;3;1;4;1;7;8;3;6;5;No;UI/UX Designer
9;0;8;3;1;2;6;3;1;2;8;5;1;6;7;6;2;6;0;5;No;IT Sales Professional
0;7;8;3;0;3;4;8;5;3;2;7;1;4;8;9;4;6;9;0;Yes;Computer and Information Research Scientist
7;9;9;4;0;2;5;8;3;9;5;3;5;9;5;8;0;0;0;3;Yes;Software Tester
9;5;7;3;1;4;1;6;5;1;7;4;9;9;7;7;8;4;8;6;No;Cloud Architect
9;6;5;8;9;2;3;9;1;7;1;7;6;8;5;2;1;0;6;3;Yes;UI/UX Designer
6;0;8;9;0;7;1;2;8;4;1;5;0;4;7;9;5;0;9;7;Yes;Technical Support Engineer
1;4;1;4;4;4;6;2;6;7;2;0;8;7;0;0;9;3;0;5;No;Full Stack Developer
2;9;5;4;5;0;2;0;2;6;5;3;6;8;4;4;1;0;9;7;No;Game Developer
9;7;6;9;9;0;9;6;2;4;5;1;7;4;5;3;2;3;1;9;Yes;Computer Programmer
6;2;4;2;0;7;1;4;5;6;0;9;6;1;8;7;1;4;8;2;No;Back End Developer
6;5;3;1;3;0;7;1;5;3;8;8;6;8;1;1;8;7;7;6;No;Mobile App Developer
5;6;8;7;0;1;8;6;4;1;1;3;0;2;5;3;8;4;0;6;Yes;Computer Systems Manager
7;9;2;7;8;1;7;2;9;9;1;1;7;8;2;8;6;6;6;8;Yes;UI/UX Designer
1;6;9;6;2;8;0;8;6;7;2;5;0;3;2;1;0;4;4;6;Yes;Research Scientist
4;9;0;8;3;9;9;5;3;9;1;1;5;3;7;4;5;2;3;6;Yes;Data Scientist
3;9;2;7;7;0;1;0;3;0;4;8;9;8;0;7;9;8;4;5;Yes;Software Tester
0;1;0;3;1;2;5;7;4;5;3;3;3;5;9;4;6;2;9;9;Yes;Research Scientist
7;2;6;4;4;1;4;1;3;8;5;0;8;4;2;2;8;3;2;2;Yes;Quality Assurance Engineer
1;9;4;4;6;9;0;6;7;3;3;8;3;8;3;3;2;6;8;2;Yes;IT Sales Professional
